zhi	tʂ ɻ̍
chi	tʂʰ ɻ̍
shi	ʂ ɻ̍
ri	ɻ ɻ̍
zi	ts ɹ̩
ci	tsʰ ɹ̩
si	s ɹ̩
ba	p a
pa	pʰ a
ma	m a
fa	f a
da	t a
ta	tʰ a
na	n a
la	l a
ga	k a
ka	kʰ a
ha	x a
zha	tʂ a
cha	tʂʰ a
sha	ʂ a
ra	ɻ a
za	ts a
ca	tsʰ a
sa	s a
bo	p uo
po	pʰ uo
mo	m uo
fo	f uo
do	t o
to	tʰ o
no	n o
lo	l o
go	k o
ko	kʰ o
ho	x o
zho	tʂ o
cho	tʂʰ o
sho	ʂ o
ro	ɻ o
zo	ts o
co	tsʰ o
so	s o
be	p ɤ
pe	pʰ ɤ
me	m ɤ
fe	f ɤ
de	t ɤ
te	tʰ ɤ
ne	n ɤ
le	l ɤ
ge	k ɤ
ke	kʰ ɤ
he	x ɤ
zhe	tʂ ɤ
che	tʂʰ ɤ
she	ʂ ɤ
re	ɻ ɤ
ze	ts ɤ
ce	tsʰ ɤ
se	s ɤ
bai	p ai
pai	pʰ ai
mai	m ai
fai	f ai
dai	t ai
tai	tʰ ai
nai	n ai
lai	l ai
gai	k ai
kai	kʰ ai
hai	x ai
zhai	tʂ ai
chai	tʂʰ ai
shai	ʂ ai
rai	ɻ ai
zai	ts ai
cai	tsʰ ai
sai	s ai
bei	p ei
pei	pʰ ei
mei	m ei
fei	f ei
dei	t ei
tei	tʰ ei
nei	n ei
lei	l ei
gei	k ei
kei	kʰ ei
hei	x ei
zhei	tʂ ei
chei	tʂʰ ei
shei	ʂ ei
rei	ɻ ei
zei	ts ei
cei	tsʰ ei
sei	s ei
bao	p au
pao	pʰ au
mao	m au
fao	f au
dao	t au
tao	tʰ au
nao	n au
lao	l au
gao	k au
kao	kʰ au
hao	x au
zhao	tʂ au
chao	tʂʰ au
shao	ʂ au
rao	ɻ au
zao	ts au
cao	tsʰ au
sao	s au
bou	p  ou
pou	pʰ  ou
mou	m  ou
fou	f  ou
dou	t  ou
tou	tʰ  ou
nou	n  ou
lou	l  ou
gou	k  ou
kou	kʰ  ou
hou	x  ou
zhou	tʂ  ou
chou	tʂʰ  ou
shou	ʂ  ou
rou	ɻ  ou
zou	ts  ou
cou	tsʰ  ou
sou	s  ou
ban	p an
pan	pʰ an
man	m an
fan	f an
dan	t an
tan	tʰ an
nan	n an
lan	l an
gan	k an
kan	kʰ an
han	x an
zhan	tʂ an
chan	tʂʰ an
shan	ʂ an
ran	ɻ an
zan	ts an
can	tsʰ an
san	s an
ben	p ən
pen	pʰ ən
men	m ən
fen	f ən
den	t ən
ten	tʰ ən
nen	n ən
len	l ən
gen	k ən
ken	kʰ ən
hen	x ən
zhen	tʂ ən
chen	tʂʰ ən
shen	ʂ ən
ren	ɻ ən
zen	ts ən
cen	tsʰ ən
sen	s ən
bang	p aŋ
pang	pʰ aŋ
mang	m aŋ
fang	f aŋ
dang	t aŋ
tang	tʰ aŋ
nang	n aŋ
lang	l aŋ
gang	k aŋ
kang	kʰ aŋ
hang	x aŋ
zhang	tʂ aŋ
chang	tʂʰ aŋ
shang	ʂ aŋ
rang	ɻ aŋ
zang	ts aŋ
cang	tsʰ aŋ
sang	s aŋ
beng	p ən
peng	pʰ ən
meng	m ən
feng	f ən
deng	t ən
teng	tʰ ən
neng	n ən
leng	l ən
geng	k ən
keng	kʰ ən
heng	x ən
zheng	tʂ ən
cheng	tʂʰ ən
sheng	ʂ ən
reng	ɻ ən
zeng	ts ən
ceng	tsʰ ən
seng	s ən
bi	p i
pi	pʰ i
mi	m i
fi	f i
di	t i
ti	tʰ i
ni	n i
li	l i
gi	k i
ki	kʰ i
hi	x i
ji	tɕ i
qi	tɕʰ i
xi	ɕ i
bia	p ia
pia	pʰ ia
mia	m ia
fia	f ia
dia	t ia
tia	tʰ ia
nia	n ia
lia	l ia
gia	k ia
kia	kʰ ia
hia	x ia
jia	tɕ ia
qia	tɕʰ ia
xia	ɕ ia
bio	p i au
pio	pʰ i au
mio	m i au
fio	f i au
dio	t i au
tio	tʰ i au
nio	n i au
lio	l i au
gio	k i au
kio	kʰ i au
hio	x i au
jio	tɕ i au
qio	tɕʰ i au
xio	ɕ i au
bie	p ie
pie	pʰ ie
mie	m ie
fie	f ie
die	t ie
tie	tʰ ie
nie	n ie
lie	l ie
gie	k ie
kie	kʰ ie
hie	x ie
jie	tɕ ie
qie	tɕʰ ie
xie	ɕ ie
biai	p i ai
piai	pʰ i ai
miai	m i ai
fiai	f i ai
diai	t i ai
tiai	tʰ i ai
niai	n i ai
liai	l i ai
giai	k i ai
kiai	kʰ i ai
hiai	x i ai
jiai	tɕ i ai
qiai	tɕʰ i ai
xiai	ɕ i ai
biao	p i au
piao	pʰ i au
miao	m i au
fiao	f i au
diao	t i au
tiao	tʰ i au
niao	n i au
liao	l i au
giao	k i au
kiao	kʰ i au
hiao	x i au
jiao	tɕ i au
qiao	tɕʰ i au
xiao	ɕ i au
biu	p i ou
piu	pʰ i ou
miu	m i ou
fiu	f i ou
diu	t i ou
tiu	tʰ i ou
niu	n i ou
liu	l i ou
giu	k i ou
kiu	kʰ i ou
hiu	x i ou
jiu	tɕ i ou
qiu	tɕʰ i ou
xiu	ɕ i ou
bian	p i ɛn
pian	pʰ i ɛn
mian	m i ɛn
fian	f i ɛn
dian	t i ɛn
tian	tʰ i ɛn
nian	n i ɛn
lian	l i ɛn
gian	k i ɛn
kian	kʰ i ɛn
hian	x i ɛn
jian	tɕ i ɛn
qian	tɕʰ i ɛn
xian	ɕ i ɛn
bin	p in
pin	pʰ in
min	m in
fin	f in
din	t in
tin	tʰ in
nin	n in
lin	l in
gin	k in
kin	kʰ in
hin	x in
jin	tɕ in
qin	tɕʰ in
xin	ɕ in
biang	p i aŋ
piang	pʰ i aŋ
miang	m i aŋ
fiang	f i aŋ
diang	t i aŋ
tiang	tʰ i aŋ
niang	n i aŋ
