zhi	tʂ ɻ̍
chi	tʂʰ ɻ̍
shi	ʂ ɻ̍
ri	ɻ ɻ̍
zi	ts ɹ̩
ci	tsʰ ɹ̩
si	s ɹ̩
ba	p a
pa	pʰ a
ma	m a
fa	f a
da	t a
ta	tʰ a
na	n a
la	l a
ga	k a
ka	kʰ a
ha	x a
zha	tʂ a
cha	tʂʰ a
sha	ʂ a
ra	ɻ a
za	ts a
ca	tsʰ a
sa	s a
bo	p uo
po	pʰ uo
mo	m uo
fo	f uo
do	t o
to	tʰ o
no	n o
lo	l o
go	k o
ko	kʰ o
ho	x o
zho	tʂ o
cho	tʂʰ o
sho	ʂ o
ro	ɻ o
zo	ts o
co	tsʰ o
so	s o
be	p ɤ
pe	pʰ ɤ
me	m ɤ
fe	f ɤ
de	t ɤ
te	tʰ ɤ
ne	n ɤ
le	l ɤ
ge	k ɤ
ke	kʰ ɤ
he	x ɤ
zhe	tʂ ɤ
che	tʂʰ ɤ
she	ʂ ɤ
re	ɻ ɤ
ze	ts ɤ
ce	tsʰ ɤ
se	s ɤ
bai	p a i
pai	pʰ a i
mai	m a i
fai	f a i
dai	t a i
tai	tʰ a i
nai	n a i
lai	l a i
gai	k a i
kai	kʰ a i
hai	x a i
zhai	tʂ a i
chai	tʂʰ a i
shai	ʂ a i
rai	ɻ a i
zai	ts a i
cai	tsʰ a i
sai	s a i
bei	p e i
pei	pʰ e i
mei	m e i
fei	f e i
dei	t e i
tei	tʰ e i
nei	n e i
lei	l e i
gei	k e i
kei	kʰ e i
hei	x e i
zhei	tʂ e i
chei	tʂʰ e i
shei	ʂ e i
rei	ɻ e i
zei	ts e i
cei	tsʰ e i
sei	s e i
bao	p au
pao	pʰ au
mao	m au
fao	f au
dao	t au
tao	tʰ au
nao	n au
lao	l au
gao	k au
kao	kʰ au
hao	x au
zhao	tʂ au
chao	tʂʰ au
shao	ʂ au
rao	ɻ au
zao	ts au
cao	tsʰ au
sao	s au
bou	p  ou
pou	pʰ  ou
mou	m  ou
fou	f  ou
dou	t  ou
tou	tʰ  ou
nou	n  ou
lou	l  ou
gou	k  ou
kou	kʰ  ou
hou	x  ou
zhou	tʂ  ou
chou	tʂʰ  ou
shou	ʂ  ou
rou	ɻ  ou
zou	ts  ou
cou	tsʰ  ou
sou	s  ou
ban	p a n
pan	pʰ a n
man	m a n
fan	f a n
dan	t a n
tan	tʰ a n
nan	n a n
lan	l a n
gan	k a n
kan	kʰ a n
han	x a n
zhan	tʂ a n
chan	tʂʰ a n
shan	ʂ a n
ran	ɻ a n
zan	ts a n
can	tsʰ a n
san	s a n
ben	p ə n
pen	pʰ ə n
men	m ə n
fen	f ə n
den	t ə n
ten	tʰ ə n
nen	n ə n
len	l ə n
gen	k ə n
ken	kʰ ə n
hen	x ə n
zhen	tʂ ə n
chen	tʂʰ ə n
shen	ʂ ə n
ren	ɻ ə n
zen	ts ə n
cen	tsʰ ə n
sen	s ə n
bang	p a ŋ
pang	pʰ a ŋ
mang	m a ŋ
fang	f a ŋ
dang	t a ŋ
tang	tʰ a ŋ
nang	n a ŋ
lang	l a ŋ
gang	k a ŋ
kang	kʰ a ŋ
hang	x a ŋ
zhang	tʂ a ŋ
chang	tʂʰ a ŋ
shang	ʂ a ŋ
rang	ɻ a ŋ
zang	ts a ŋ
cang	tsʰ a ŋ
sang	s a ŋ
beng	p ə n
peng	pʰ ə n
meng	m ə n
feng	f ə n
deng	t ə n
teng	tʰ ə n
neng	n ə n
leng	l ə n
geng	k ə n
keng	kʰ ə n
heng	x ə n
zheng	tʂ ə n
cheng	tʂʰ ə n
sheng	ʂ ə n
reng	ɻ ə n
zeng	ts ə n
ceng	tsʰ ə n
seng	s ə n
bi	p i
pi	pʰ i
mi	m i
fi	f i
di	t i
ti	tʰ i
ni	n i
li	l i
gi	k i
ki	kʰ i
hi	x i
ji	tɕ i
qi	tɕʰ i
xi	ɕ i
bia	p ia
pia	pʰ ia
mia	m ia
fia	f ia
dia	t ia
tia	tʰ ia
nia	n ia
lia	l ia
gia	k ia
kia	kʰ ia
hia	x ia
jia	tɕ ia
qia	tɕʰ ia
xia	ɕ ia
bio	p iau
pio	pʰ iau
mio	m iau
fio	f iau
dio	t iau
tio	tʰ iau
nio	n iau
lio	l iau
gio	k iau
kio	kʰ iau
hio	x iau
jio	tɕ iau
qio	tɕʰ iau
xio	ɕ iau
bie	p ie
pie	pʰ ie
mie	m ie
fie	f ie
die	t ie
tie	tʰ ie
nie	n ie
lie	l ie
gie	k ie
kie	kʰ ie
hie	x ie
jie	tɕ ie
qie	tɕʰ ie
xie	ɕ ie
biai	p ia i
piai	pʰ ia i
miai	m ia i
fiai	f ia i
diai	t ia i
tiai	tʰ ia i
niai	n ia i
liai	l ia i
giai	k ia i
kiai	kʰ ia i
hiai	x ia i
jiai	tɕ ia i
qiai	tɕʰ ia i
xiai	ɕ ia i
biao	p iau
piao	pʰ iau
miao	m iau
fiao	f iau
diao	t iau
tiao	tʰ iau
niao	n iau
liao	l iau
giao	k iau
kiao	kʰ iau
hiao	x iau
jiao	tɕ iau
qiao	tɕʰ iau
xiao	ɕ iau
biu	p i ou
piu	pʰ i ou
miu	m i ou
fiu	f i ou
diu	t i ou
tiu	tʰ i ou
niu	n i ou
liu	l i ou
giu	k i ou
kiu	kʰ i ou
hiu	x i ou
jiu	tɕ i ou
qiu	tɕʰ i ou
xiu	ɕ i ou
bian	p iɛ n
pian	pʰ iɛ n
mian	m iɛ n
fian	f iɛ n
dian	t iɛ n
tian	tʰ iɛ n
nian	n iɛ n
lian	l iɛ n
gian	k iɛ n
kian	kʰ iɛ n
hian	x iɛ n
jian	tɕ iɛ n
qian	tɕʰ iɛ n
xian	ɕ iɛ n
bin	p i n
pin	pʰ i n
min	m i n
fin	f i n
din	t i n
tin	tʰ i n
nin	n i n
lin	l i n
gin	k i n
kin	kʰ i n
hin	x i n
jin	tɕ i n
qin	tɕʰ i n
